epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.2835,1.82729,4.34333,1.39395,0.00265,0.7625,0.02206,0.0125,1.21357,4.27316,1.10241,0.00035007,0.00035007,0.00035007
2,73.6547,1.6341,3.07534,1.3191,0.00268,0.6875,0.27324,0.12045,1.36227,3.92425,1.1428,0.000709714,0.000709714,0.000709714
3,106.964,1.6059,2.78113,1.25967,0.5,0.12758,0.36362,0.19575,1.45653,3.40168,1.2196,0.0010621,0.0010621,0.0010621
