epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,424.536,0.88591,0.60993,0.95975,0.57531,0.93766,0.68902,0.42484,1.44068,0.77082,1.22315,0.000990365,0.000990365,0.000990365
43,426.991,0.86238,0.62911,0.96973,0.82144,0.81478,0.90047,0.54413,1.41493,0.76414,1.20058,0.000973861,0.000973861,0.000973861
44,429.456,0.89895,0.63342,0.96081,0.80574,0.762,0.81095,0.51308,1.3839,0.82415,1.15016,0.000957358,0.000957358,0.000957358
45,431.905,0.8836,0.61317,0.97497,0.84842,0.6875,0.82195,0.49618,1.49503,0.78124,1.22587,0.000940855,0.000940855,0.000940855
46,434.363,0.89453,0.63875,0.95851,0.62022,0.7,0.67726,0.38511,1.60093,0.81296,1.33158,0.000924352,0.000924352,0.000924352
47,436.898,0.87343,0.62135,0.97056,0.80443,0.75201,0.86256,0.51123,1.4837,0.84285,1.24957,0.000907848,0.000907848,0.000907848
48,439.363,0.86858,0.612,0.96476,0.72225,0.66839,0.70056,0.42239,1.4178,0.90208,1.19045,0.000891345,0.000891345,0.000891345
49,441.809,0.83443,0.58093,0.97339,0.58618,0.75,0.68404,0.43017,1.38177,0.8502,1.17318,0.000874842,0.000874842,0.000874842
50,444.271,0.83351,0.57473,0.94862,0.98616,0.72947,0.85108,0.49505,1.46003,0.7424,1.24911,0.000858338,0.000858338,0.000858338
51,446.736,0.82942,0.59304,0.93787,0.7399,0.68111,0.78454,0.46633,1.4315,0.7566,1.26306,0.000841835,0.000841835,0.000841835
52,449.19,0.83583,0.605,0.97883,0.94986,0.825,0.89957,0.53753,1.50869,0.74597,1.28348,0.000825332,0.000825332,0.000825332
53,451.636,0.82344,0.57338,0.95363,0.91579,0.78285,0.89593,0.56392,1.60648,0.80626,1.30156,0.000808828,0.000808828,0.000808828
54,454.085,0.83562,0.56599,0.97971,0.97378,0.71985,0.80518,0.47024,1.52545,0.83508,1.33712,0.000792325,0.000792325,0.000792325
55,456.549,0.81071,0.5643,0.94474,0.89757,0.69357,0.76921,0.46486,1.41653,0.81902,1.19034,0.000775822,0.000775822,0.000775822
56,459.033,0.83119,0.56268,0.94897,0.8926,0.71954,0.88283,0.55117,1.38959,0.88157,1.14955,0.000759318,0.000759318,0.000759318
57,461.585,0.76724,0.51865,0.92543,0.90634,0.75207,0.8823,0.5465,1.43345,0.87556,1.22631,0.000742815,0.000742815,0.000742815
58,464.044,0.77966,0.55098,0.93574,0.98265,0.625,0.82013,0.49671,1.42117,0.85863,1.25121,0.000726312,0.000726312,0.000726312
59,466.499,0.78785,0.54613,0.94982,0.92665,0.63495,0.82344,0.52879,1.35231,0.80739,1.21137,0.000709809,0.000709809,0.000709809
60,468.96,0.81651,0.55178,0.94543,0.79552,0.75878,0.85621,0.53002,1.44402,0.9271,1.27156,0.000693305,0.000693305,0.000693305
61,471.418,0.80508,0.53462,0.92922,0.68401,0.72926,0.72759,0.47937,1.45724,0.84293,1.27647,0.000676802,0.000676802,0.000676802
62,473.874,0.7547,0.52898,0.91767,0.6353,0.94919,0.7574,0.4575,1.39515,0.82116,1.24675,0.000660299,0.000660299,0.000660299
63,476.329,0.76914,0.52068,0.90369,0.82261,0.7125,0.74183,0.4638,1.35371,0.82218,1.25155,0.000643795,0.000643795,0.000643795
64,478.813,0.78481,0.51366,0.92702,0.65493,0.4933,0.60018,0.36741,1.38738,0.99676,1.19765,0.000627292,0.000627292,0.000627292
65,481.26,0.71456,0.4976,0.90814,0.61453,0.50515,0.64926,0.38718,1.42818,0.94311,1.255,0.000610789,0.000610789,0.000610789
66,483.723,0.75215,0.50881,0.9079,0.70595,0.61346,0.78216,0.45632,1.46363,0.89555,1.27356,0.000594286,0.000594286,0.000594286
67,486.189,0.7317,0.50427,0.90293,0.76061,0.75,0.80617,0.4776,1.43944,0.91874,1.28229,0.000577782,0.000577782,0.000577782
68,488.741,0.74881,0.52102,0.93205,0.55494,0.7,0.64281,0.37657,1.44158,0.88317,1.26868,0.000561279,0.000561279,0.000561279
69,491.185,0.72354,0.50108,0.90421,0.93847,0.56622,0.71098,0.42329,1.4863,0.88007,1.28649,0.000544776,0.000544776,0.000544776
70,493.642,0.71326,0.49656,0.90832,0.8369,0.74849,0.83668,0.49429,1.50453,0.83212,1.27462,0.000528272,0.000528272,0.000528272
71,496.088,0.70317,0.46663,0.91599,0.79505,0.69399,0.73984,0.44773,1.49669,0.96768,1.28318,0.000511769,0.000511769,0.000511769
72,498.543,0.73072,0.49179,0.90479,0.65771,0.72439,0.64341,0.37054,1.50297,0.95474,1.3096,0.000495266,0.000495266,0.000495266
73,501.002,0.6712,0.46889,0.89138,0.82774,0.61178,0.69197,0.38943,1.47144,0.96335,1.31613,0.000478762,0.000478762,0.000478762
74,503.468,0.73469,0.47133,0.9173,0.90408,0.66447,0.73538,0.42154,1.43067,0.86982,1.31439,0.000462259,0.000462259,0.000462259
75,505.928,0.69504,0.45944,0.88957,0.97078,0.65,0.75136,0.46955,1.42473,0.84641,1.26004,0.000445756,0.000445756,0.000445756
76,508.397,0.71412,0.484,0.90504,0.66509,0.8625,0.74076,0.43899,1.5466,0.84637,1.31053,0.000429253,0.000429253,0.000429253
77,510.848,0.69058,0.45769,0.89956,0.71562,0.8,0.78595,0.47404,1.46039,0.82447,1.28223,0.000412749,0.000412749,0.000412749
78,513.395,0.67248,0.45,0.89562,0.67129,0.75,0.73925,0.45372,1.47057,0.82448,1.26272,0.000396246,0.000396246,0.000396246
79,515.844,0.67187,0.44914,0.88659,0.61896,0.675,0.71841,0.43583,1.49844,0.90733,1.31915,0.000379743,0.000379743,0.000379743
80,518.32,0.67774,0.46514,0.89334,0.68932,0.7625,0.77308,0.47819,1.43908,0.77897,1.25832,0.000363239,0.000363239,0.000363239
81,520.769,0.67783,0.44691,0.90305,0.78954,0.8625,0.88453,0.54668,1.46355,0.81122,1.26424,0.000346736,0.000346736,0.000346736
82,523.231,0.67993,0.44245,0.89915,0.89245,0.81808,0.92743,0.56571,1.45532,0.77277,1.26099,0.000330233,0.000330233,0.000330233
83,525.696,0.6631,0.44105,0.89705,0.83045,0.925,0.92976,0.57961,1.45515,0.75088,1.2304,0.000313729,0.000313729,0.000313729
84,528.155,0.64136,0.43542,0.88778,0.8347,0.9125,0.9173,0.55571,1.45566,0.74949,1.26298,0.000297226,0.000297226,0.000297226
85,530.621,0.64342,0.43669,0.8866,0.95585,0.725,0.88391,0.526,1.45233,0.73198,1.25991,0.000280723,0.000280723,0.000280723
86,533.091,0.63136,0.42451,0.88507,0.76122,0.87425,0.88168,0.51147,1.4688,0.75955,1.31796,0.00026422,0.00026422,0.00026422
87,535.547,0.64072,0.42567,0.90011,0.77803,0.85,0.86777,0.54504,1.44666,0.84919,1.28245,0.000247716,0.000247716,0.000247716
88,538.024,0.62391,0.42289,0.88076,0.78711,0.84901,0.85205,0.53122,1.42277,0.83024,1.26843,0.000231213,0.000231213,0.000231213
89,540.572,0.62685,0.43019,0.87877,0.75966,0.93376,0.87394,0.5378,1.4353,0.76364,1.27171,0.00021471,0.00021471,0.00021471
90,543.046,0.61958,0.40705,0.86071,0.86571,0.76748,0.8647,0.52389,1.4334,0.75452,1.2806,0.000198206,0.000198206,0.000198206
91,554.434,0.58342,0.37944,0.86581,0.7793,0.7875,0.85285,0.53068,1.44002,0.78286,1.25647,0.000181703,0.000181703,0.000181703
92,556.965,0.56611,0.36413,0.85294,0.78725,0.74773,0.87423,0.54024,1.41921,0.7777,1.26796,0.0001652,0.0001652,0.0001652
93,559.437,0.55273,0.36477,0.84884,0.91211,0.782,0.91482,0.57473,1.42894,0.78081,1.26576,0.000148696,0.000148696,0.000148696
94,561.915,0.53686,0.35467,0.83943,0.85431,0.8125,0.90161,0.5664,1.41356,0.75859,1.24866,0.000132193,0.000132193,0.000132193
95,564.37,0.51726,0.35084,0.83804,0.95344,0.7291,0.9043,0.56669,1.42745,0.76,1.27775,0.00011569,0.00011569,0.00011569
96,566.831,0.54553,0.37096,0.84738,0.97195,0.79075,0.91214,0.57242,1.41977,0.73279,1.25196,9.91865e-05,9.91865e-05,9.91865e-05
97,569.308,0.49642,0.33437,0.84159,0.96901,0.77496,0.89209,0.56198,1.41309,0.75458,1.25305,8.26832e-05,8.26832e-05,8.26832e-05
98,571.774,0.49569,0.33876,0.83246,0.94993,0.79254,0.88044,0.54746,1.42987,0.78595,1.27209,6.61799e-05,6.61799e-05,6.61799e-05
99,574.234,0.51791,0.3445,0.84663,0.95788,0.7875,0.87769,0.5548,1.43228,0.79357,1.26953,4.96766e-05,4.96766e-05,4.96766e-05
100,576.796,0.514,0.34011,0.83853,0.93378,0.72363,0.86966,0.55052,1.42111,0.79715,1.25098,3.31733e-05,3.31733e-05,3.31733e-05
